setting,metric,estimate,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_n
ensemble_tta,accuracy,0.9712183789364998,0.9672173464119773,0.9744450180691792,1000
ensemble_tta,precision,0.9775132275132276,0.9723617415112226,0.9817350472380111,1000
ensemble_tta,recall,0.963996869292982,0.9581874932418524,0.9695336076607096,1000
ensemble_tta,f1,0.970707999474583,0.9666575600132025,0.9741196852374981,1000
ensemble_tta,auc,0.9958285228200754,0.9948492010296967,0.9967061098916659,1000
ensemble_tta,eer,0.03123463342972686,0.02723261155132489,0.035493679803851354,1000
ensemble_tta,tpr_at_1pct_fpr,0.9512131489694756,0.9409996640637855,0.9577430559781264,1000
ensemble_tta,tpr_at_0_1pct_fpr,0.8792068875554396,0.831397594041382,0.905471040097683,1000
ensemble_tta,ece,0.031837130053412176,0.028712393918688746,0.035095957245042095,1000
ensemble_tta,brier,0.024455696797679647,0.022448352605357956,0.026565627966722422,1000
