seed,setting,metric,estimate,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_n
42,standard,accuracy,0.9597333333333333,0.9566,0.9629333333333333,1000
42,standard,precision,0.9553618594823032,0.9507786153650941,0.9597177835530019,1000
42,standard,recall,0.9645333333333334,0.9603457309179906,0.9685299799414653,1000
42,standard,f1,0.9599256900212314,0.9566743907074782,0.9631302932827781,1000
42,standard,auc,0.9920558755555555,0.9907783019309377,0.9932619206774974,1000
42,standard,eer,0.039200000000000006,0.03606622457980998,0.042332915498449544,1000
42,standard,tpr_at_1pct_fpr,0.9158666666666667,0.9019728086109511,0.9265283961096973,1000
42,standard,tpr_at_0_1pct_fpr,0.7773333333333333,0.6759704167059173,0.8368519413993013,1000
42,standard,ece,0.00982512223857143,0.00890560168981399,0.01340433358059579,1000
42,standard,brier,0.030147429559517068,0.028131556931706308,0.032057702130743444,1000
42,tta,accuracy,0.9630666666666666,0.9601333333333333,0.9661333333333333,1000
42,tta,precision,0.9595130987033607,0.9552536438414388,0.9635864592388308,1000
42,tta,recall,0.9669333333333333,0.9629374577092602,0.970933254493236,1000
42,tta,f1,0.9632089254881128,0.960176540313484,0.9662853688880776,1000
42,tta,auc,0.992935128888889,0.9917874055526011,0.9940056878640997,1000
42,tta,eer,0.03600000000000002,0.033133311053886685,0.039332626764373047,1000
42,tta,tpr_at_1pct_fpr,0.9210666666666667,0.9082916124286513,0.9322677765433434,1000
42,tta,tpr_at_0_1pct_fpr,0.8018666666666666,0.7440518859756953,0.833750337472305,1000
42,tta,ece,0.015149459950004978,0.013075917011836259,0.018171492705948995,1000
42,tta,brier,0.028177163362415922,0.026302609005100733,0.02989758920450896,1000
123,standard,accuracy,0.9552,0.9517283333333333,0.958135,1000
123,standard,precision,0.9636067354698533,0.9592458419200446,0.9677990038312825,1000
123,standard,recall,0.9461333333333334,0.9407231403402291,0.9510687201329959,1000
123,standard,f1,0.9547900968783639,0.9509532436544058,0.9578798327020513,1000
123,standard,auc,0.9930063200000001,0.9921199697067388,0.9937738372917233,1000
123,standard,eer,0.04353333333333333,0.04073328881998158,0.04726836723990191,1000
123,standard,tpr_at_1pct_fpr,0.9008,0.887528197622582,0.9131424984127819,1000
123,standard,tpr_at_0_1pct_fpr,0.7141333333333333,0.6903231445296589,0.7693489219383349,1000
123,standard,ece,0.011863623207000367,0.010337298030654616,0.015370617767816097,1000
123,standard,brier,0.03176796443699104,0.030032575039976077,0.03380877909359809,1000
123,tta,accuracy,0.961,0.9577983333333333,0.963935,1000
123,tta,precision,0.9680519832137539,0.9643150964583869,0.9717692351072541,1000
123,tta,recall,0.9534666666666667,0.9485331114405067,0.9580642497649219,1000
123,tta,f1,0.96070396990663,0.9571906351793515,0.9637838874219334,1000
123,tta,auc,0.9942324266666667,0.9934591125244102,0.9949423806143592,1000
123,tta,eer,0.040200000000000014,0.037328193276210564,0.043466569860523656,1000
123,tta,tpr_at_1pct_fpr,0.9130666666666667,0.8968118430338964,0.9228028645207248,1000
123,tta,tpr_at_0_1pct_fpr,0.7126666666666667,0.6987119594233849,0.7996589843857921,1000
123,tta,ece,0.017284732257016017,0.014960227175471314,0.020053936240153017,1000
123,tta,brier,0.029157459024473698,0.02756777823362078,0.03099759423356485,1000
2024,standard,accuracy,0.9536,0.9502666666666667,0.9570683333333333,1000
2024,standard,precision,0.9721065778517902,0.9684356474246633,0.9757103262238954,1000
2024,standard,recall,0.934,0.9282204719639795,0.9396512232686186,1000
2024,standard,f1,0.9526723786209711,0.949244579505716,0.9562629713915011,1000
2024,standard,auc,0.9909108,0.9897788875251522,0.9919808420561008,1000
2024,standard,eer,0.04920000000000001,0.044998302673927446,0.05293904603977282,1000
2024,standard,tpr_at_1pct_fpr,0.8925333333333333,0.8809570530341971,0.909176293864628,1000
2024,standard,tpr_at_0_1pct_fpr,0.7462666666666666,0.7161981329102922,0.7872573026690768,1000
2024,standard,ece,0.010077525215782234,0.008037263557078988,0.013562057404912361,1000
2024,standard,brier,0.03580433122339289,0.033443941599933816,0.03803647512930389,1000
2024,tta,accuracy,0.9576,0.9541983333333334,0.9608666666666666,1000
2024,tta,precision,0.9762697751873439,0.9730972496669577,0.9794125564503524,1000
2024,tta,recall,0.938,0.932128715325979,0.9433967983244328,1000
2024,tta,f1,0.9567523459812322,0.9533953661602016,0.9600120294038923,1000
2024,tta,auc,0.9923315733333333,0.9912400797954682,0.9933149698803313,1000
2024,tta,eer,0.044399999999999995,0.040866493340707334,0.04753332486508222,1000
2024,tta,tpr_at_1pct_fpr,0.9144,0.8990398765534916,0.9239703957680332,1000
2024,tta,tpr_at_0_1pct_fpr,0.7597333333333334,0.7104141348186949,0.8293000901878796,1000
2024,tta,ece,0.01068718099656207,0.00927001383125475,0.014266777947691014,1000
2024,tta,brier,0.03246955486632283,0.030452116292745787,0.03453408458647092,1000
