seed,setting,accuracy,precision,recall,f1,auc,eer,tpr_at_1pct_fpr,tpr_at_0_1pct_fpr,ece,brier
42,standard,0.9597333333333333,0.9553618594823032,0.9645333333333334,0.9599256900212314,0.9920558755555555,0.039200000000000006,0.9158666666666667,0.7773333333333333,0.00982512223857143,0.03014742955951707
42,tta,0.9630666666666666,0.9595130987033607,0.9669333333333333,0.9632089254881128,0.992935128888889,0.03600000000000002,0.9210666666666667,0.8018666666666666,0.015149459950004978,0.02817716336241593
123,standard,0.9552,0.9636067354698533,0.9461333333333334,0.9547900968783639,0.9930063200000001,0.04353333333333333,0.9008,0.7141333333333333,0.011863623207000367,0.03176796443699104
123,tta,0.961,0.9680519832137539,0.9534666666666667,0.96070396990663,0.9942324266666667,0.040200000000000014,0.9130666666666667,0.7126666666666667,0.017284732257016017,0.029157459024473698
2024,standard,0.9536,0.9721065778517902,0.934,0.9526723786209711,0.9909108,0.04920000000000001,0.8925333333333333,0.7462666666666666,0.010077525215782234,0.03580433122339289
2024,tta,0.9576,0.9762697751873439,0.938,0.9567523459812322,0.9923315733333333,0.044399999999999995,0.9144,0.7597333333333334,0.01068718099656207,0.03246955486632283
