Setting,Train,Test,Accuracy,Precision,Recall,F1-score,AUC,EER,TPR@1%FPR,TPR@0.1%FPR,ECE,Brier
Standard,Dataset A + Dataset B,Dataset C unseen,0.9636,0.9715215622457283,0.9552,0.963291649858814,0.9934912000000001,0.03786666666666669,0.9173333333333333,0.7478666666666667,0.010652032579792133,0.03010365425281966
TTA,Dataset A + Dataset B,Dataset C unseen,0.9668,0.9734920205572085,0.9597333333333333,0.9665637169329931,0.9946790933333334,0.03353333333333332,0.9221333333333334,0.8036,0.005872545906094197,0.02652547645710916
