seed,setting,metric,estimate,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_n
2024,standard,accuracy,0.9536,0.9502666666666667,0.9570683333333333,1000
2024,standard,precision,0.9721065778517902,0.9684356474246633,0.9757103262238954,1000
2024,standard,recall,0.934,0.9282204719639795,0.9396512232686186,1000
2024,standard,f1,0.9526723786209711,0.949244579505716,0.9562629713915011,1000
2024,standard,auc,0.9909108,0.9897788875251522,0.9919808420561008,1000
2024,standard,eer,0.04920000000000001,0.044998302673927446,0.05293904603977282,1000
2024,standard,tpr_at_1pct_fpr,0.8925333333333333,0.8809570530341971,0.909176293864628,1000
2024,standard,tpr_at_0_1pct_fpr,0.7462666666666666,0.7161981329102922,0.7872573026690768,1000
2024,standard,ece,0.010077525215782234,0.008037263557078988,0.013562057404912361,1000
2024,standard,brier,0.03580433122339289,0.033443941599933816,0.03803647512930389,1000
