seed,setting,metric,estimate,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_n
123,standard,accuracy,0.9552,0.9517283333333333,0.958135,1000
123,standard,precision,0.9636067354698533,0.9592458419200446,0.9677990038312825,1000
123,standard,recall,0.9461333333333334,0.9407231403402291,0.9510687201329959,1000
123,standard,f1,0.9547900968783639,0.9509532436544058,0.9578798327020513,1000
123,standard,auc,0.9930063200000001,0.9921199697067388,0.9937738372917233,1000
123,standard,eer,0.04353333333333333,0.04073328881998158,0.04726836723990191,1000
123,standard,tpr_at_1pct_fpr,0.9008,0.887528197622582,0.9131424984127819,1000
123,standard,tpr_at_0_1pct_fpr,0.7141333333333333,0.6903231445296589,0.7693489219383349,1000
123,standard,ece,0.011863623207000367,0.010337298030654616,0.015370617767816097,1000
123,standard,brier,0.03176796443699104,0.030032575039976077,0.03380877909359809,1000
