seed,setting,metric,estimate,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_n
2024,tta,accuracy,0.9576,0.9541983333333334,0.9608666666666666,1000
2024,tta,precision,0.9762697751873439,0.9730972496669577,0.9794125564503524,1000
2024,tta,recall,0.938,0.932128715325979,0.9433967983244328,1000
2024,tta,f1,0.9567523459812322,0.9533953661602016,0.9600120294038923,1000
2024,tta,auc,0.9923315733333333,0.9912400797954682,0.9933149698803313,1000
2024,tta,eer,0.044399999999999995,0.040866493340707334,0.04753332486508222,1000
2024,tta,tpr_at_1pct_fpr,0.9144,0.8990398765534916,0.9239703957680332,1000
2024,tta,tpr_at_0_1pct_fpr,0.7597333333333334,0.7104141348186949,0.8293000901878796,1000
2024,tta,ece,0.01068718099656207,0.00927001383125475,0.014266777947691014,1000
2024,tta,brier,0.03246955486632283,0.030452116292745787,0.03453408458647092,1000
