seed,setting,metric,estimate,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_n
42,standard,accuracy,0.9597333333333333,0.9566,0.9629333333333333,1000
42,standard,precision,0.9553618594823032,0.9507786153650941,0.9597177835530019,1000
42,standard,recall,0.9645333333333334,0.9603457309179906,0.9685299799414653,1000
42,standard,f1,0.9599256900212314,0.9566743907074782,0.9631302932827781,1000
42,standard,auc,0.9920558755555555,0.9907783019309377,0.9932619206774974,1000
42,standard,eer,0.039200000000000006,0.03606622457980998,0.042332915498449544,1000
42,standard,tpr_at_1pct_fpr,0.9158666666666667,0.9019728086109511,0.9265283961096973,1000
42,standard,tpr_at_0_1pct_fpr,0.7773333333333333,0.6759704167059173,0.8368519413993013,1000
42,standard,ece,0.00982512223857143,0.00890560168981399,0.01340433358059579,1000
42,standard,brier,0.030147429559517068,0.028131556931706308,0.032057702130743444,1000
