Setting,accuracy,precision,recall,f1,auc,eer,tpr_at_1pct_fpr,tpr_at_0_1pct_fpr,ece,brier,tn,fp,fn,tp
Standard,0.9642,0.961676170269195,0.9669333333333333,0.9642975865966359,0.9946840622222222,0.03520000000000001,0.9241333333333334,0.7516,0.012323900696573194,0.026461988058968242,7211,289,248,7252
TTA,0.9671333333333333,0.9655813953488372,0.9688,0.9671880199667221,0.9957727822222222,0.03253333333333332,0.9316,0.8224,0.01286881807918355,0.02359609328804215,7241,259,234,7266
