Table_Type,Model,Variant,accuracy,precision,recall,f1,auc,eer,tpr_at_1pct_fpr,tpr_at_0_1pct_fpr,ece,brier,tn,fp,fn,tp
Baseline,FreqNet-like frequency baseline,freqnet_like_baseline,0.5925333333333334,0.6475967673330497,0.406,0.4990985084412391,0.6492293155555555,0.3945333333333333,0.0408,0.0046666666666666,0.0075657262332736,0.2367585509962781,5843,1657,4455,3045
Baseline,F3Net-like spatial-frequency baseline,f3net_like_baseline,0.9582666666666668,0.9564409030544488,0.9602666666666668,0.9583499667332004,0.99340008,0.0412,0.9008,0.7596,0.0148939658368006,0.0303375957978315,7172,328,298,7202
Baseline,MesoNet compact baseline,mesonet_baseline,0.6911333333333334,0.7213899613899614,0.6228,0.668479427549195,0.7743806755555556,0.3089333333333333,0.196,0.1034666666666666,0.02185747176713,0.1941080720031053,5696,1804,2829,4671
Baseline,EfficientNet-B4 CNN baseline,efficientnet_b4_baseline,0.9502,0.9578305084745764,0.9418666666666666,0.949781512605042,0.99055376,0.0492,0.8630666666666666,0.6497333333333334,0.0154519560644403,0.036387383804863,7189,311,436,7064
Baseline,ConvNeXt-Tiny CNN baseline,convnext_tiny_baseline,0.6200666666666667,0.6281121069853465,0.5886666666666667,0.6077500172069653,0.6632146044444445,0.379,0.0429333333333333,0.0036,0.026235301699241,0.2324841770425395,4886,2614,3085,4415
Baseline,ViT-B/16 transformer baseline,vit_b16_baseline,0.5854,0.6651198762567672,0.344,0.4534669127339836,0.6288076977777778,0.4076666666666666,0.0448,0.0048,0.0271328192651271,0.240501947142894,6201,1299,4920,2580
Baseline,Swin-Tiny transformer baseline,swin_tiny_baseline,0.9468666666666666,0.9576676225590603,0.9350666666666668,0.946232206705795,0.9887254666666668,0.0544,0.8652,0.6826666666666666,0.012493901656568,0.0391369498565095,7190,310,487,7013
Baseline,Xception baseline,xception_baseline,0.9532666666666668,0.9466561555643148,0.9606666666666668,0.9536099530143604,0.9914404622222224,0.0461333333333333,0.8657333333333334,0.5114666666666666,0.0138970560379326,0.0354297441782681,7094,406,295,7205
Baseline,Spatial-only internal baseline,spatial_baseline,0.9569333333333332,0.9618598382749326,0.9516,0.9567024128686328,0.9918036444444444,0.0429333333333333,0.8893333333333333,0.6246666666666667,0.010606740764901,0.0324869309602009,7217,283,363,7137
Baseline,Full proposed FG-DG-CSF-XAI,final,0.9642,0.961676170269195,0.9669333333333332,0.964297586596636,0.9946840622222222,0.0352,0.9241333333333334,0.7516,0.0123239006965731,0.0264619880589682,7211,289,248,7252
Ablation,,freqnet_like_baseline,0.5925333333333334,0.6475967673330497,0.406,0.4990985084412391,0.6492293155555555,0.3945333333333333,0.0408,0.0046666666666666,0.0075657262332736,0.2367585509962781,5843,1657,4455,3045
Ablation,,f3net_like_baseline,0.9582666666666668,0.9564409030544488,0.9602666666666668,0.9583499667332004,0.99340008,0.0412,0.9008,0.7596,0.0148939658368006,0.0303375957978315,7172,328,298,7202
Ablation,,mesonet_baseline,0.6911333333333334,0.7213899613899614,0.6228,0.668479427549195,0.7743806755555556,0.3089333333333333,0.196,0.1034666666666666,0.02185747176713,0.1941080720031053,5696,1804,2829,4671
Ablation,,efficientnet_b4_baseline,0.9502,0.9578305084745764,0.9418666666666666,0.949781512605042,0.99055376,0.0492,0.8630666666666666,0.6497333333333334,0.0154519560644403,0.036387383804863,7189,311,436,7064
Ablation,,convnext_tiny_baseline,0.6200666666666667,0.6281121069853465,0.5886666666666667,0.6077500172069653,0.6632146044444445,0.379,0.0429333333333333,0.0036,0.026235301699241,0.2324841770425395,4886,2614,3085,4415
Ablation,,vit_b16_baseline,0.5854,0.6651198762567672,0.344,0.4534669127339836,0.6288076977777778,0.4076666666666666,0.0448,0.0048,0.0271328192651271,0.240501947142894,6201,1299,4920,2580
Ablation,,swin_tiny_baseline,0.9468666666666666,0.9576676225590603,0.9350666666666668,0.946232206705795,0.9887254666666668,0.0544,0.8652,0.6826666666666666,0.012493901656568,0.0391369498565095,7190,310,487,7013
Ablation,,xception_baseline,0.9532666666666668,0.9466561555643148,0.9606666666666668,0.9536099530143604,0.9914404622222224,0.0461333333333333,0.8657333333333334,0.5114666666666666,0.0138970560379326,0.0354297441782681,7094,406,295,7205
Ablation,,spatial_baseline,0.9569333333333332,0.9618598382749326,0.9516,0.9567024128686328,0.9918036444444444,0.0429333333333333,0.8893333333333333,0.6246666666666667,0.010606740764901,0.0324869309602009,7217,283,363,7137
Ablation,,spatial_frequency,0.9601333333333332,0.960256068284876,0.96,0.9601280170689426,0.99302088,0.0398,0.9118666666666668,0.7548,0.0115476506585876,0.0295172228719577,7202,298,300,7200
Ablation,,spatial_frequency_patch,0.9558,0.9727561886322776,0.9378666666666666,0.9549928721743264,0.9922905333333336,0.0452666666666666,0.9030666666666668,0.7078666666666666,0.00547283874092,0.0336426354966104,7303,197,466,7034
Ablation,,no_counterfactual,0.9426666666666668,0.9778353483016696,0.9058666666666668,0.9404761904761904,0.9901597866666666,0.0511333333333333,0.8638666666666667,0.6969333333333333,0.0121189062467465,0.0415865225244178,7346,154,706,6794
Ablation,,no_domain,0.9516666666666668,0.9761068165846802,0.926,0.9503934314060896,0.9927359733333332,0.0438666666666666,0.8924,0.7845333333333333,0.0124839872511104,0.0347874521563901,7330,170,555,6945
Ablation,,final,0.9642,0.961676170269195,0.9669333333333332,0.964297586596636,0.9946840622222222,0.0352,0.9241333333333334,0.7516,0.0123239006965731,0.0264619880589682,7211,289,248,7252
